accuracy,precision,recall,f1,tp,tn,fp,fn,fnr,fpr,roc_auc,pr_auc,model,seed,attack,poison_rate,time,split_type,effective_contamination,n_injected,threshold,n_features,noise_sigma
0.9582592460881935,0.9944812362030905,0.6598315635298425,0.7933083865287255,5406,59265,30,2787,0.34016843647015743,0.0005059448520111307,0.9254811099873038,0.8199006759770235,mcd,123,feature_noise,0.1,5.875422954559326,random,,27670,3092944242.6133394,44,0.5
0.9310173582639426,0.9939809241596445,0.7860569001501226,0.8778752376863154,21468,59146,130,5843,0.21394309984987733,0.0021931304406505162,0.9605640928196417,0.9376530303265636,lstm_ae,42,feature_noise,0.1,83.87548971176147,contiguous_normal,,27670,0.007705220021307468,44,0.5
0.9604670459933617,0.9562345169281585,0.7067008421823507,0.8127456485120719,5790,59030,265,2403,0.2932991578176492,0.004469179526098322,0.9040941877096982,0.832320432865434,svm,42,feature_noise,0.1,12.440277814865112,random,,27670,5.710091399297825,44,0.5
0.9525397107633949,0.9498737829065993,0.6429879165140974,0.7668680398864546,5268,59017,278,2925,0.3570120834859026,0.004688422295303145,0.8711437423824078,0.763891004848453,histogram,456,feature_noise,0.1,3.734243631362915,random,,27670,-59.45635239723192,44,0.5
0.9539029160739687,0.954561717352415,0.6512876846088124,0.7742871653486179,5336,59041,254,2857,0.3487123153911876,0.0042836664136942405,0.8722532434818586,0.7692102279211968,histogram,123,feature_noise,0.1,3.433032512664795,random,,27670,-59.800114644461274,44,0.5
0.9716690374585112,0.9619061626709811,0.798242402050531,0.8724653148345785,6540,59036,259,1653,0.20175759794946907,0.0043679905556960955,0.9538207847163691,0.8997604739099443,autoencoder,123,feature_noise,0.1,128.17380738258362,random,,27670,0.0016837639268487692,44,0.5
0.9700391180654339,0.9636363636363636,0.7827413645795191,0.8638200431034483,6413,59053,242,1780,0.2172586354204809,0.004081288472889789,0.9569436700836934,0.9020814586728557,autoencoder,456,feature_noise,0.1,127.35008311271667,random,,27670,0.0016198365483433008,44,0.5
0.9694464201043148,0.9604927144359321,0.7804223117295253,0.8611447811447811,6394,59032,263,1799,0.2195776882704748,0.00443544986929758,0.9466160777392633,0.8804909757625161,autoencoder,456,feature_noise,0.1,132.99015855789185,random,,27670,0.0015052068047225475,44,1.0
0.9393521811284969,0.8019145802650958,0.6645917246429879,0.7268237335647066,5445,57950,1345,2748,0.33540827535701206,0.02268319419849903,0.9187516996954748,0.6357247555412617,mcd,42,feature_noise,0.1,5.944904088973999,random,,27670,214600.32638208824,44,1.0
0.9402335223532401,0.9956560680698612,0.8140675918128226,0.8957514957394089,22233,59179,97,5078,0.18593240818717732,0.0016364127134084621,0.9668172877773651,0.9428970173543593,lstm_ae,456,feature_noise,0.1,81.15876841545105,contiguous_normal,,27670,0.01073366031050682,44,1.0
0.9613560929350403,0.9822137800034536,0.6942511900402782,0.8135011441647597,5688,59192,103,2505,0.3057488099597217,0.0017370773252382158,0.900443171585261,0.821667992269703,pca,42,feature_noise,0.1,1.398115873336792,random,,27670,1138.1696414237008,44,1.0
0.9710615220483642,0.956140350877193,0.798242402050531,0.8700858112153262,6540,58995,300,1653,0.20175759794946907,0.0050594485201113076,0.9790894447983425,0.9250377435218506,abod,123,feature_noise,0.1,188.27220010757446,random,,27670,-1.2521216009380145,44,1.0
0.9685425557136084,0.933200114187839,0.7979982912242158,0.8603197578788078,6538,58827,468,1655,0.20200170877578422,0.00789273969137364,0.9665255150722482,0.8836047629619914,lof,42,feature_noise,0.1,11.62890887260437,random,,27670,2.9191548223379935,44,1.0
